Time,Cloud
2023/4/5 10:13,0.91
2023/4/5 09:42,0.91
2023/4/5 09:42,0.84
2023/4/5 09:42,0.74
2023/4/6 10:08,0.99
2023/4/6 10:08,0.99
2023/4/6 09:38,0.93
2023/4/6 09:38,0.95
2023/4/6 09:38,0.93
2023/4/6 09:35,0.97
2023/4/6 09:35,1
2023/4/7 10:13,0.61
2023/4/7 10:13,0.57
2023/4/7 10:13,0.71
2023/4/7 10:11,0.79
2023/4/7 10:11,0.68
2023/4/7 09:39,0.9
2023/4/7 09:39,0.99
2023/4/7 09:39,1
2023/4/7 09:29,0.92
2023/4/7 09:29,0.91
2023/4/8 10:12,0.88
2023/4/8 09:41,0.66
2023/4/8 09:42,0.75
2023/4/8 09:42,0.89
2023/4/8 09:40,0.86
2023/4/9 09:35,0.89
2023/4/9 09:35,0.98
2023/4/9 09:35,0.97
2023/4/9 09:32,0.91
2023/4/9 09:32,1
2023/4/10 10:10,0.43
2023/4/10 10:10,0.42
2023/4/10 10:10,0.79
2023/4/10 09:41,0.07
2023/4/10 09:41,0.13
2023/4/10 09:39,0.58
2023/4/10 09:39,0.37
2023/4/10 09:35,0.49
2023/4/10 09:35,0.23
2023/4/11 10:29,0.88
2023/4/11 10:29,0.6
2023/4/11 09:40,0.7
2023/4/12 09:41,0.98
2023/4/12 09:41,0.87
2023/4/12 09:29,1
2023/4/12 09:29,0.96
2023/4/13 10:12,0.28
2023/4/13 10:12,0.11
2023/4/13 09:35,0.34
2023/4/13 09:35,0.36
2023/4/14 10:11,0.67
2023/4/14 10:11,0.26
2023/4/14 10:11,0.02
2023/4/14 09:38,0.46
2023/4/14 09:38,0.43
2023/4/15 10:25,0.68
2023/4/15 10:25,0.78
2023/4/15 10:26,0.7
2023/4/15 09:40,0.15
2023/4/15 09:40,0.08
2023/4/15 09:32,0.23
2023/4/16 09:41,0
2023/4/16 09:41,0
2023/4/16 09:33,0
2023/4/16 09:33,0
2023/4/17 10:15,0.11
2023/4/17 10:15,0.06
2023/4/17 09:38,0
2023/4/17 09:38,0
2023/4/18 10:11,0.9
2023/4/18 09:40,0.53
2023/4/18 09:30,0.58
2023/4/19 10:14,0.98
2023/4/19 10:14,0.98
2023/4/19 09:32,0.48
2023/4/20 09:42,0.4
2023/4/20 09:42,0.66
2023/4/20 09:42,0.38
2023/4/20 09:38,0
2023/4/20 09:31,0.5
2023/4/20 09:31,0.31
2023/4/21 09:41,0.05
2023/4/21 09:41,0.12
2023/4/22 10:11,0.73
2023/4/22 10:11,0.84
2023/4/23 10:13,0.86
2023/4/23 10:13,0.49
2023/4/23 09:35,0.91
2023/4/23 09:35,0.69
2023/4/24 10:13,0.39
2023/4/24 10:13,0.7
2023/4/24 10:13,0.88
2023/4/24 09:38,0.01
2023/4/24 09:38,0
2023/4/24 09:38,0.02
2023/4/24 09:33,0.38
2023/4/24 09:33,0.33
2023/4/25 10:29,0.7
2023/4/25 10:29,0.9
2023/4/25 09:35,1
2023/4/25 09:35,1
2023/4/25 09:35,1
2023/4/26 10:18,0.53
2023/4/26 10:18,0.53
2023/4/26 10:18,0.53
2023/4/26 09:40,0
2023/4/26 09:40,0
2023/4/27 09:41,0.96
2023/4/27 09:41,0.98
2023/4/27 09:41,0.99
2023/4/27 09:35,0.96
2023/4/27 09:35,1
2023/4/27 09:35,0.98
